Martin Garrix,0
Dimitri Vegas & Like Mike,0
Armin Van Buuren,1
Hardwell,-1
Tiesto,0
The Chainsmokers,12
David Guetta,-1
Afrojack,2
Steve Aoki,-2
Marshmello,18
Don Diablo ,4
KSHMR,0
Oliver Heldens,-5
W&W,-1
Calvin Harris,-1
Skrillex,-7
Alan Walker,38
R3hab,3
Alok,6
Dash Berlin,-3
Axwell /\ Ingrosso,-5
DVBBS,2
DJ Snake,-1
Kygo,2
Diplo,-2
Lost Frequencies,100
Above & Beyond,20
Avicii,-17
Zedd,6
Quintino,2
Vintage Culture,23
VINAI,5
Headhunterz,3
Eric Prydz,32
Bassjackers,-1
Blasterjaxx,7
Alesso,-17
Ummet Ozcan,-19
Fedde Le Grand,11
Angerfist,6
Wolfpack,22
Nervo,3
Timmy Trumpet,37
Radical Redemption,24
Major Lazer,-1
Tujamo,32
Tom Swoon,9
Kura,3
Deadmau5,-18
Nicky Romero,-21
Paul van Dyk,9
Danny Avila,200
Aly & Fila,-12
ATB,7
Yves V,7
Diego Miranda,2
Yellow Claw,-9
Miss K8,30
Brennan Heart,0
Mike Williams,100
Dannic,9
Carl Cox,12
Carl Nunes,"+23"
Lucas & Steve,100
Warface,100
Galantis,-27
Da Tweekaz,4
Jay Hardway,21
Claptone,100
Martin Jensen,12
Florian Picasso,-33
Vini Vici,100
Jauz,10
Cat Dealers,100
Sam Feldt,12
Robin Schulz,-7
Andy C,200
Carnage,6
Andrew Rayel,-14
Richie Hawtin,200
Solomun,100
Steve Angello,-52
Will Sparks,-10
Mariana Bo,100
Black Coffee,100
Dillon Francis,-22
Flume,7
Shogun,-46
Alison Wonderland,100
Ferry Corsten,9
Maceo Plex,100
Carta,100
MOSIMANN,200
Julian Jordan,100
tchami,200
Porter Robinson,-6
Paul Kalkbrenner,200
DJ L,100
Swanky Tunes,-72
Disclosure,200