Closer,The Chainsmokers Featuring Halsey
Don't Let Me Down,The Chainsmokers Featuring Daya
Something Just Like This,The Chainsmokers & Coldplay
Roses,The Chainsmokers Featuring Rozes
Paris,The Chainsmokers
#SELFIE,The Chainsmokers
All We Know,The Chainsmokers Featuring Phoebe Ryan
Sick Boy,The Chainsmokers
Setting Fires,The Chainsmokers Featuring XYLO
Honest,The Chainsmokers
We Found Love,Rihanna Featuring Calvin Harris
This Is What You Came For,Calvin Harris Featuring Rihanna
Summer,Calvin Harris
Sweet Nothing,Calvin Harris Featuring Florence Welch
Feel So Close,Calvin Harris
I Need Your Love,Calvin Harris Featuring Ellie Goulding
Let's Go,Calvin Harris Featuring Ne-Yo
Blame,Calvin Harris Featuring John Newman
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"
My Way,Calvin Harris
Break Free,Ariana Grande Featuring Zedd
The Middle,"Zedd, Maren Morris & Grey"
Stay,Zedd & Alessia Cara
Clarity,Zedd Featuring Foxes
Starving,Hailee Steinfeld & Grey Featuring Zedd
I Want You To Know,Zedd Featuring Selena Gomez
Stay The Night,Zedd Featuring Hayley Williams
Beautiful Now,Zedd Featuring Jon Bellion
True Colors,Zedd & Kesha
Get Low,Zedd & Liam Payne