Martin Garrix,"
No change
"
Dimitri Vegas & Like Mike,"
No change
"
Armin Van Buuren,"
Up 1
"
Hardwell,"
Down 1
"
TiÃ«sto,"
No change
"
The Chainsmokers,"
Up 12
"
David Guetta,"
Down 1
"
Afrojack,"
Up 2
"
Steve Aoki,"
Down 2
"
Marshmello,"
Up 18
"
Don Diablo ,"
Up 4
"
KSHMR,"
No change
"
Oliver Heldens,"
Down 5
"
W&W,"
Down 1
"
Calvin Harris,"
Down 1
"
Skrillex,"
Down 7
"
Alan Walker,"
Up 38
"
R3hab,"
Up 3
"
Alok,"
Up 6
"
Dash Berlin,"
Down 3
"
Axwell /\ Ingrosso,"
Down 5
"
DVBBS,"
Up 2
"
DJ Snake,"
Down 1
"
Kygo,"
Up 2
"
Diplo,"
Down 2
"
Lost Frequencies,"
New Entry
"
Above & Beyond,"
Up 20
"
Avicii,"
Down 17
"
Zedd,"
Up 6
"
Quintino,"
Up 2
"
Vintage Culture,"
Up 23
"
VINAI,"
Up 5
"
Headhunterz,"
Up 3
"
Eric Prydz,"
Up 32
"
Bassjackers,"
Down 1
"
Blasterjaxx,"
Up 7
"
Alesso,"
Down 17
"
Ummet Ozcan,"
Down 19
"
Fedde Le Grand,"
Up 11
"
Angerfist,"
Up 6
"
Wolfpack,"
Up 22
"
Nervo,"
Up 3
"
Timmy Trumpet,"
Up 37
"
Radical Redemption,"
Up 24
"
Major Lazer,"
Down 1
"
Tujamo,"
Up 32
"
Tom Swoon,"
Up 9
"
Kura,"
Up 3
"
Deadmau5,"
 Down 18
"
Nicky Romero,"
Down 21
"
Paul van Dyk,"
Up 9
"
Danny Avila,"
Re-entry
"
Aly & Fila,"
Down 12
"
ATB,"
Up 7
"
Yves V,"
Up 7
"
Diego Miranda,"
Up 2
"
Yellow Claw,"
Down 9
"
Miss K8,"
Up 30
"
Brennan Heart,"
No change
"
Mike Williams,"
New Entry
"
Dannic,"
Up 9
"
Carl Cox,"
Up 12
"
Carl Nunes,"
Up 23
"
Lucas & Steve,"
New Entry
"
Warface,"
New Entry
"
Galantis,"
Down 27
"
Da Tweekaz,"
Up 4
"
Jay Hardway,"
Up 21
"
Claptone,"
New Entry
"
Martin Jensen,"
Up 12
"
Florian Picasso,"
Down 33
"
Vini Vici,"
New Entry
"
Jauz,"
Up 10
"
Cat Dealers,"
New Entry
"
Sam Feldt,"
Up 12
"
Robin Schulz,"
Down 7
"
Andy C,"
Re-entry
"
Carnage,"
Up 6
"
Andrew Rayel,"
Down 14
"
Richie Hawtin,"
Re-entry
"
Solomun,"
New Entry
"
Steve Angello,"
Down 52
"
Will Sparks,"
Down 10
"
Mariana Bo,"
New Entry
"
Black Coffee,"
New Entry
"
Dillon Francis,"
Down 22
"
Flume,"
Up 7
"
Shogun,"
Down 46
"
Alison Wonderland,"
New Entry
"
Ferry Corsten,"
Up 9
"
Maceo Plex,"
New Entry
"
Carta,"
New Entry
 "
MOSIMANN,"
Re-entry
"
Julian Jordan,"
New Entry
"
tchami,"
Re-entry
"
Porter Robinson,"
Down 6
"
Paul Kalkbrenner,"
Re-entry
"
DJ L,"
New Entry
"
Swanky Tunes,"
Down 72
"
Disclosure,"
Re-entry
"